Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
RNA degradation_Homo sapiens_hsa03018	14/77	0.00844640547069694554160879107485015993006527423858642578125	0.1220036345767336605216968337117577902972698211669921875	0.004569866100458273329432135057004416012205183506011962890625	0.06253500979574479201605896605542511679232120513916015625	-1.3241640939242592	6.321578341391665	DDX6;PNPT1;CNOT6L;DIS3L;PARN;ENO2;EXOSC6;EXOSC5;CNOT7;PAN3;DHX36;EXOSC3;SKIV2L2;DCP1B
Toxoplasmosis_Homo sapiens_hsa05145	18/118	0.0188371579345192226295768733734803390689194202423095703125	0.2448830531487498907150524019016302190721035003662109375	0.007281702017278376785902604950706518138758838176727294921875	0.09466212622461890602298950625481666065752506256103515625	-1.4017434836303573	5.567618407779459	HLA-DRB4;IL10RA;PIK3R1;MAPK8;HLA-DMA;CASP8;CD40LG;HLA-DMB;AKT3;BCL2;HLA-DPB1;HLA-DRA;ITGA6;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1;JAK1
Leishmaniasis_Homo sapiens_hsa05140	12/73	0.029596025557404044559195455121880513615906238555908203125	0.349771211132956894029888417207985185086727142333984375	0.016143958263381198714458975018715136684477329254150390625	0.1907922340217777790183362185416626743972301483154296875	-1.1801729770992921	4.154344833400693	MARCKSL1;HLA-DMA;HLA-DRB4;HLA-DMB;ITGA4;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1;JAK1
Tuberculosis_Homo sapiens_hsa05152	23/178	0.050776955630481797332453908211391535587608814239501953125	0.55008368599688617361920250914408825337886810302734375	0.0149953433438355411555509277832243242301046848297119140625	0.1856566318760590750258643311099149286746978759765625	-1.2439727593713834	3.7074277592697107	CD74;CAMK2D;HLA-DRB4;IL10RA;MALT1;PPP3R1;MAPK8;HLA-DMA;PPP3CC;CASP8;HLA-DMB;IL23A;CLEC7A;AKT3;RFXAP;BCL2;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1;JAK1
Staphylococcus aureus infection_Homo sapiens_hsa05150	10/56	0.02685300045477302666174779233188019134104251861572265625	0.332465719916237467668196359227295033633708953857421875	0.0170193409515998865522146132889247382991015911102294921875	0.1923925498876508932699636034158174879848957061767578125	-1.0204048501891092	3.6911897658515618	HLA-DMA;HLA-DRB4;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DRB3;ITGAL;HLA-DQA1;HLA-DQB1;HLA-DPA1
Colorectal cancer_Homo sapiens_hsa05210	10/62	0.04988064748003785686680799926762119866907596588134765625	0.55008368599688617361920250914408825337886810302734375	0.0296592487442008494180623046077016624622046947479248046875	0.3067136490303956630754100842750631272792816162109375	-1.1383021462592864	3.4127689093957954	SMAD2;SMAD4;MAPK8;LEF1;AKT3;TCF7;BCL2;PIK3R1;RALGDS;TGFBR2
Herpes simplex infection_Homo sapiens_hsa05168	23/185	0.0720029584810442380149453356352751143276691436767578125	0.706886394018693575702627640566788613796234130859375	0.021705854853109253499443553891978808678686618804931640625	0.23514676090868358304675211911671794950962066650390625	-1.181395302781416	3.108307832230205	CD74;HLA-DRB4;TRAF1;PPP1CB;PPP1CC;MAPK8;HLA-DMA;CASP8;PER3;HLA-DMB;CCL5;TRAF5;HLA-DPB1;HLA-DRA;SRSF5;HLA-DRB3;SRSF7;CLOCK;SRSF8;HLA-DQA1;HLA-DQB1;HLA-DPA1;JAK1
Sphingolipid signaling pathway_Homo sapiens_hsa04071	16/120	0.07340743322501817880176844255402102135121822357177734375	0.706886394018693575702627640566788613796234130859375	0.03067136490303956630754100842750631272792816162109375	0.3067136490303956630754100842750631272792816162109375	-1.1078192951147368	2.8933249744758673	PIK3R1;PPP2R5C;SGPP1;SGPL1;MAPK8;PPP2R2B;AKT3;S1PR1;BCL2;FCER1A;FYN;S1PR2;S1PR5;MS4A2;PLCB1;NSMAF
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	13/94	0.079483775988020755054463961641886271536350250244140625	0.73806363417447851116293122686329297721385955810546875	0.038700291624595047068613240526246954686939716339111328125	0.361931392624109282696309719540295191109180450439453125	-1.138085673865754	2.8818632221553417	PRKAG2;PIK3R1;SIRT1;FOXO1;RPTOR;ADCY9;SESN3;CAMK4;SESN1;AKT3;ULK3;ULK2;PRKACB
Long-term potentiation_Homo sapiens_hsa04720	10/66	0.07096780909156440164675672122029936872422695159912109375	0.706886394018693575702627640566788613796234130859375	0.041105511488889502624832772426088922657072544097900390625	0.3685321719693541719919949173345230519771575927734375	-1.041950825600165	2.7565110192442073	PPP1CB;RAP1B;PPP1CC;CAMK2D;PPP3R1;PPP3CC;CAMK4;ITPR1;PLCB1;PRKACB
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	13/98	0.10232302515693929290119257302649202756583690643310546875	0.88679955136014043670655837559024803340435028076171875	0.04973442723654893093954143523660604842007160186767578125	0.41712745424202324340257064250181429088115692138671875	-1.1661176313346462	2.6583057236901233	PTGER4;CAMK2D;PRKCH;ITPR1;PIK3R1;PPP1CB;PPP1CC;MAPK8;ADCY9;PRKCQ;PLCG1;PLCB1;PRKACB
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	14/104	0.0843427215054051437892468356949393637478351593017578125	0.7561761238415634078791072170133702456951141357421875	0.03897722689798099882096948931575752794742584228515625	0.361931392624109282696309719540295191109180450439453125	-1.0718156161467287	2.6504572131479764	SMAD2;CD3G;PIK3R1;CD3E;CD3D;TGFBR2;MAPK8;GNAL;CASP8;PPP2R2B;CCL5;AKT3;CD247;PLCB1
Oxytocin signaling pathway_Homo sapiens_hsa04921	19/158	0.1207815680327360141621539924017270095646381378173828125	0.95958981575133128760768386200652457773685455322265625	0.045023578508408247655925293884138227440416812896728515625	0.390204347072871493562473688143654726445674896240234375	-1.1607897467181687	2.4536443858294787	CAMK2D;CAMK1D;NFATC3;ITPR1;CACNA2D2;NFATC2;PRKAG2;PIK3R1;EEF2;PPP1CB;CACNB1;PPP1CC;PPP3R1;ADCY9;PPP3CC;CAMK4;PLCB1;PRKACB;MAP2K5
Glucagon signaling pathway_Homo sapiens_hsa04922	13/101	0.12179409199920743223088948070653714239597320556640625	0.95958981575133128760768386200652457773685455322265625	0.059313885324803250487235573018551804125308990478515625	0.456925778418013350812287853841553442180156707763671875	-1.020064526573248	2.147667755008359	CAMK2D;PDE3B;ITPR1;PRKAG2;SIRT1;FOXO1;LDHB;PPP3R1;PPP3CC;AKT3;SIK2;PLCB1;PRKACB
RNA transport_Homo sapiens_hsa03013	20/172	0.144427588057869815685307912644930183887481689453125	0.99999999956408114343275883584283292293548583984375	0.052614067529654244548265040748447063378989696502685546875	0.427489298678440710066439578440622426569461822509765625	-1.0425099882747444	2.017232868075379	NUP107;NUP133;RBM8A;FMR1;THOC1;DDX20;MAGOHB;RGPD4;EEF1A1;DDX39B;CLNS1A;EIF3J;STRAP;NUP35;EIF3H;NUP54;EIF3E;EIF3F;EIF3D;EIF4B
mRNA surveillance pathway_Homo sapiens_hsa03015	12/91	0.1170125776985414256525785958729102276265621185302734375	0.95958981575133128760768386200652457773685455322265625	0.05980298565236401298061963416330399923026561737060546875	0.456925778418013350812287853841553442180156707763671875	-0.8897676043252744	1.9089731261135776	PPP1CB;PPP1CC;CPSF6;DDX39B;RBM8A;FIP1L1;WDR82;RNMT;PPP2R2B;CSTF2T;PPP2R5C;MAGOHB
FoxO signaling pathway_Homo sapiens_hsa04068	16/133	0.1446649838279805699858826528725330717861652374267578125	0.99999999956408114343275883584283292293548583984375	0.06205536638741293575805002546985633671283721923828125	0.456925778418013350812287853841553442180156707763671875	-0.9367587685618485	1.8110682010740307	SMAD2;SMAD4;FBXO25;PRKAG2;PIK3R1;FBXO32;STK4;SIRT1;FOXO1;KLF2;TGFBR2;RBL2;MAPK8;AKT3;S1PR1;IL7R
Phospholipase D signaling pathway_Homo sapiens_hsa04072	17/144	0.1530594979224023932662390734549262560904026031494140625	0.99999999956408114343275883584283292293548583984375	0.06326664624249415946888319695062818937003612518310546875	0.456925778418013350812287853841553442180156707763671875	-0.9537069347415809	1.7900397816573161	DGKE;DGKA;PIK3R1;CYTH3;ADCY9;MRAS;DGKQ;PDGFD;AKT3;FCER1A;FYN;PLCG1;MS4A2;PLCB1;RALGDS;CYTH1;ARF6
NF-kappa B signaling pathway_Homo sapiens_hsa04064	12/93	0.131535641870028918720691990529303438961505889892578125	0.99999999956408114343275883584283292293548583984375	0.06729194093907987783698132489007548429071903228759765625	0.47286228768002069866582814938738010823726654052734375	-0.8293441144536404	1.68230581227657	ZAP70;CD40LG;LCK;TRAF5;BCL2;PRKCQ;TRAF1;PLCG1;MAP3K14;LAT;CARD11;MALT1
Dopaminergic synapse_Homo sapiens_hsa04728	15/129	0.1862828142873802494960955300484783947467803955078125	0.99999999956408114343275883584283292293548583984375	0.0850062008397608204202100523616536520421504974365234375	0.58162137416678449941542794476845301687717437744140625	-0.8531225515425829	1.4336632794852946	CAMK2D;ITPR1;PPP2R5C;PPP1CB;PPP1CC;MAPK8;GNAL;PPP3CC;KIF5C;PPP2R2B;AKT3;GNB5;PLCB1;PRKACB;CLOCK
Osteoclast differentiation_Homo sapiens_hsa04380	15/132	0.210483287668820018279092209922964684665203094482421875	0.99999999956408114343275883584283292293548583984375	0.09722241832625529156519661455604364164173603057861328125	0.64814945550836855492349286578246392309665679931640625	-0.7771031397771879	1.2109979182603183	CSF1R;NFATC2;PIK3R1;LILRA4;TGFBR2;CYLD;PPP3R1;MAPK8;PPP3CC;LCK;CAMK4;AKT3;FYN;MAP3K14;JAK1
Spliceosome_Homo sapiens_hsa03040	15/134	0.227358554132481793796927149742259643971920013427734375	0.99999999956408114343275883584283292293548583984375	0.10594349121238573474546029729026486165821552276611328125	0.676139929422750807219699709094129502773284912109375	-0.6873821468001186	1.0181689773060552	PRPF38B;RBM25;RBM8A;THOC1;MAGOHB;DDX39B;PRPF3;DHX15;PPIE;PPIH;SNRPA1;SRSF5;SRSF7;HNRNPA1L2;SRSF8
B cell receptor signaling pathway_Homo sapiens_hsa04662	9/73	0.210330035952060179216260848988895304501056671142578125	0.99999999956408114343275883584283292293548583984375	0.12515383929792045503148756324662826955318450927734375	0.70802103465219745626058056586771272122859954833984375	-0.6169185862097201	0.9618238143958492	PPP3R1;PPP3CC;CD81;AKT3;NFATC3;NFATC2;PIK3R1;CARD11;MALT1
Measles_Homo sapiens_hsa05162	15/136	0.244779892045463520755532726980163715779781341552734375	0.99999999956408114343275883584283292293548583984375	0.1151257816956062496327461985856643877923488616943359375	0.69610937769436331823413866004557348787784576416015625	-0.6725138964949157	0.9464932818264516	SH2D1A;TNFRSF10B;CBLB;CD3G;PIK3R1;CD3E;CD3D;AKT3;IL2RB;CD28;RAB9A;EIF3H;PRKCQ;FYN;JAK1
mTOR signaling pathway_Homo sapiens_hsa04150	8/60	0.170555254186982085951029830539482645690441131591796875	0.99999999956408114343275883584283292293548583984375	0.106622065793587628146354973068810068070888519287109375	0.676139929422750807219699709094129502773284912109375	-0.5318057824962573	0.9406027407503493	RPTOR;RPS6;AKT3;ULK3;ULK2;RICTOR;PIK3R1;EIF4B
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	16/148	0.260738101609631789390419953633681870996952056884765625	0.99999999956408114343275883584283292293548583984375	0.11936801311030242889188457411364652216434478759765625	0.70535644110633255454700929476530291140079498291015625	-0.6350991131258398	0.8537248808573699	CAMK2D;CACNA2D2;ATP1A1;PIK3R1;PPP2R5C;ATP2B1;PPP1CB;CACNB1;PPP1CC;ADCY9;RPS6KA5;PPP2R2B;AKT3;BCL2;PLCB1;PRKACB
Epstein-Barr virus infection_Homo sapiens_hsa05169	21/202	0.280054006157240686913922900203033350408077239990234375	0.99999999956408114343275883584283292293548583984375	0.1100145507531327393468956188371521420776844024658203125	0.68104245704320265364373199190595187246799468994140625	-0.614200593759937	0.7817378188656678	HLA-DRB4;IL10RA;PIK3R1;TRAF1;ITGAL;SPN;MAPK8;AKT3;TRAF5;HLA-DPB1;BCL2;POLR1D;HLA-DRA;PLCG1;HLA-DRB3;PRKACB;MAP3K14;HLA-DQA1;HLA-DQB1;HLA-DPA1;JAK1
Apoptosis_Homo sapiens_hsa04210	15/140	0.28108100925770884703780438940157182514667510986328125	0.99999999956408114343275883584283292293548583984375	0.134862027306604514986787535235635004937648773193359375	0.70802103465219745626058056586771272122859954833984375	-0.5475778980446503	0.694937879578701	PRF1;ITPR1;TNFRSF10B;GZMB;CTSW;TRAF1;PIK3R1;PTPN13;CTSO;MAPK8;CASP8;AKT3;BCL2;MAP3K14;SPTAN1
Adherens junction_Homo sapiens_hsa04520	9/74	0.22175274103203335140932495050947181880474090576171875	0.99999999956408114343275883584283292293548583984375	0.1321337221431233555080098085454665124416351318359375	0.70802103465219745626058056586771272122859954833984375	-0.3912883432118197	0.5893554884350061	SMAD2;SMAD4;YES1;LEF1;TCF7;FYN;BAIAP2;ACP1;TGFBR2
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	8/64	0.2176080947624907668824789652717299759387969970703125	0.99999999956408114343275883584283292293548583984375	0.135882569951187692769423165373154915869235992431640625	0.70802103465219745626058056586771272122859954833984375	-0.3862803247518214	0.5891005038397684	RPTOR;ADCY9;AKT3;PRKAG2;PIK3R1;SIRT1;PRKACB;FOXO1
Insulin resistance_Homo sapiens_hsa04931	12/109	0.27810533019126293385880899222684092819690704345703125	0.99999999956408114343275883584283292293548583984375	0.1485931969139928365830627399191143922507762908935546875	0.731327181511272073066720622591674327850341796875	-0.4566088986812828	0.5843476816163927	PPP1CB;MGEA5;PPP1CC;SLC27A1;MAPK8;TBC1D4;AKT3;PRKAG2;PRKCQ;PIK3R1;OGT;FOXO1
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	11/98	0.268778132432835936693749090409255586564540863037109375	0.99999999956408114343275883584283292293548583984375	0.1487631902838776054576186425038031302392482757568359375	0.731327181511272073066720622591674327850341796875	-0.4124481786954482	0.5419028869000799	ITPKB;INPP4B;DGKE;DGKA;DGKQ;ITPR1;PIP4K2A;PIK3R1;PLCG1;PLCB1;PI4K2A
Pancreatic cancer_Homo sapiens_hsa05212	8/66	0.2427844379339141323015383022720925509929656982421875	0.99999999956408114343275883584283292293548583984375	0.1518910300061872831189901944526354782283306121826171875	0.731327181511272073066720622591674327850341796875	-0.31120766371095676	0.44053975415381347	SMAD2;SMAD4;MAPK8;AKT3;PIK3R1;RALGDS;TGFBR2;JAK1
MAPK signaling pathway_Homo sapiens_hsa04010	25/255	0.362080552328124583016943915936280973255634307861328125	0.99999999956408114343275883584283292293548583984375	0.136157891279268750128750298244995065033435821533203125	0.70802103465219745626058056586771272122859954833984375	-0.3938238717003035	0.40008117050994396	RASGRF2;ARRB1;STK4;RASGRP1;DUSP16;ELK4;RAP1B;PPP3R1;MAPK8;PPP3CC;RPS6KA5;AKT3;PRKACB;MAP4K3;MAP3K4;MAP2K5;DUSP2;NFATC3;CACNA2D2;TGFBR2;CACNB1;NR4A1;MRAS;MAPKAPK5;MAP3K14
Amphetamine addiction_Homo sapiens_hsa05031	8/67	0.25572145777268195931952732280478812754154205322265625	0.99999999956408114343275883584283292293548583984375	0.1602215683055057404704513146498356945812702178955078125	0.7574110501714816923168882567551918327808380126953125	-0.24251748868185014	0.33071297072101546	PPP1CB;PPP1CC;CAMK2D;PPP3R1;PPP3CC;CAMK4;SIRT1;PRKACB
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	8/68	0.2688654301439534766160477374796755611896514892578125	0.99999999956408114343275883584283292293548583984375	0.1687614524613481326031916296415147371590137481689453125	0.78353531499911632796084859364782460033893585205078125	-0.20876908441270495	0.2742274375562908	MAPK8;AKT3;FCER1A;FYN;PIK3R1;PLCG1;MS4A2;LAT
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	14/137	0.35373346315347509172255513476557098329067230224609375	0.99999999956408114343275883584283292293548583984375	0.182727625466986898228327618198818527162075042724609375	0.80524038341384052142046812150510959327220916748046875	-0.1943239505065871	0.20194369932429046	DET1;UBE2D4;SIAH1;CUL2;WWP1;UBE2E2;CBLB;UBE2G2;PIAS2;CUL4A;HERC1;UBE2Q2;UBE2N;BTRC
Influenza A_Homo sapiens_hsa05164	17/175	0.412382364896764996853306683988193981349468231201171875	0.99999999956408114343275883584283292293548583984375	0.201770005799669582824407143561984412372112274169921875	0.8568966574193843666051861873711459338665008544921875	-0.20886963111688434	0.1850176152701702	HLA-DRB4;TNFRSF10B;PIK3R1;DNAJB1;MAPK8;HLA-DMA;HLA-DMB;DDX39B;CCL5;AKT3;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1;JAK1
Wnt signaling pathway_Homo sapiens_hsa04310	14/142	0.405503096441716504028107692647608928382396697998046875	0.99999999956408114343275883584283292293548583984375	0.215627466981047455352182851129327900707721710205078125	0.8625098679241898214087314045173116028308868408203125	-0.20347774986079709	0.18366446399105488	SMAD4;CAMK2D;LEF1;SIAH1;TCF7;NFATC3;NFATC2;PPP3R1;MAPK8;PPP3CC;TBL1XR1;BTRC;PLCB1;PRKACB
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	9/81	0.307313441705332979214659872013726271688938140869140625	0.99999999956408114343275883584283292293548583984375	0.186360630677818106537557696356088854372501373291015625	0.80756273293721181349980042796232737600803375244140625	-0.12421679790347397	0.1465617936597386	NR4A1;CAMK2D;DAGLA;ADCY9;CAMK1D;CAMK4;ITPR1;PLCB1;PRKACB
